tournament_slug,division,group,position,team,played,wins,losses,games_for,games_against,difference,bonus_points,points,qualification
ipt-kochi-city-open-2-0,Women's Beginner,GROUP A,3,Devi Nayar / Aswti Mannali,3,1,2,8,17,-9,0,2,eliminated
ipt-kochi-city-open-2-0,Women's Beginner,GROUP A,4,Anna Biju / Meghna Biju,3,0,3,2,24,-22,0,0,eliminated
ipt-kochi-city-open-2-0,Women's Intermediate,GROUP A,1,Rebecca Puthumana / Deepthi J S,2,2,0,16,7,9,0,4,automatic_qualifier
ipt-kochi-city-open-2-0,Women's Intermediate,GROUP A,2,Sareeka John / Shubha Abhilash,2,1,1,9,10,-1,0,2,automatic_qualifier
ipt-kochi-city-open-2-0,Women's Intermediate,GROUP A,3,Neeti Nayak / Urmi Kothari,2,0,2,8,16,-8,0,0,eliminated
mumbai-city-open-5-01,Men's Beginner,A,1,Burhan Contractor / Advaith Anoop,3,3,0,24,12,12,0,6,automatic_qualifier
mumbai-city-open-5-01,Men's Beginner,A,2,Chirag Gaikwad / Harman Singh Tur,3,2,1,20,13,7,0,4,automatic_qualifier
mumbai-city-open-5-01,Men's Beginner,A,3,Ronak Daftary / Anirudh Jain,3,1,2,19,17,2,0,2,eliminated
mumbai-city-open-5-01,Men's Beginner,A,4,Rahul Sachdeva / Jason Pereira,3,0,3,3,24,-21,0,0,eliminated
mumbai-city-open-5-01,Men's Beginner,B,1,Siddhant Gupta / Naville Prakash,3,3,0,24,8,16,0,6,automatic_qualifier
