player_id,player,ranking_category,event,event_canonical,event_type,month,awarded_on,division,round,points,counts_for_ranking,partner,partner_source,wins,losses,prize,tournament_slug,scale,expires_rolling,expires_season,already_overdue_if_rolling
2bde84bf-0871-496d-836c-05d90139b08d,Rohan Dhoot,Men's,Mumbai City Open 5.0,Mumbai City Open 5.0,city_open,2026-08,2026-08-02,intermediate,groups,0,True,Karan Daftary,draw_entry,1.0,1.0,,mumbai-city-open-5-01,2026-27,2027-08-02,2027-07-01,False
2ca1e3d6-f039-4d35-8a77-2dc758f3f972,Sahil Dhingra,Men's,Goa Grandslam 11.0,Goa Grandslam 11.0,grand_slam,2026-08,2026-08-16,beginner,groups,0,True,Maurya Nagpal,draw_entry,1.0,2.0,,ipt-goa-grandslam-11-0,2026-27,2027-08-16,2027-07-01,False
2cf42324-1463-4d64-b9e2-1a6b89ead090,Vineeth Mutyala,Men's,Goa Grandslam 11.0,Goa Grandslam 11.0,grand_slam,2026-08,2026-08-16,intermediate,winner,100,True,Tammineedi Jayanth,draw_entry,7.0,0.0,,ipt-goa-grandslam-11-0,2026-27,2027-08-16,2027-07-01,False
2d665cd5-8589-4301-81c6-25e0ba95fe1a,Naesar Jewoor,Men's,BANGALORE CITY OPEN 2.0,BANGALORE CITY OPEN 2.0,city_open,2026-04,2026-04-12,advance,semi_finalist,160,True,,,,,,,2025-26 and earlier,2027-04-12,2027-07-01,False
2d665cd5-8589-4301-81c6-25e0ba95fe1a,Naesar Jewoor,Men's,INDIAN PADEL TOUR 10.0,INDIAN PADEL TOUR 10.0,grand_slam,2026-04,2026-04-26,advance,quarter_finalist,180,True,,,,,,,2025-26 and earlier,2027-04-26,2027-07-01,False
2d665cd5-8589-4301-81c6-25e0ba95fe1a,Naesar Jewoor,Men's,City Open Kochi 2.0,City Open Kochi 2.0,city_open,2026-09,2026-09-13,advance,groups,0,True,Siddharth Dabrai,profile,1.0,2.0,,ipt-kochi-city-open-2-0,2026-27,2027-09-13,2027-07-01,False
2fb6f01b-24d6-44e9-95d3-7eca645d317e,Teyjas Chaudhary,Men's,Goa Grandslam 11.0,Goa Grandslam 11.0,grand_slam,2026-08,2026-08-16,beginner,semi_finalist,18,True,Suvir Singh,draw_entry,3.0,2.0,,ipt-goa-grandslam-11-0,2026-27,2027-08-16,2027-07-01,False
2fc76920-fbc0-4f8b-b8cc-cc92661a5f3e,Abhi Panchu,Men's,Goa Grandslam 11.0,Goa Grandslam 11.0,grand_slam,2026-08,2026-08-16,beginner,winner,50,True,Mukund Muthanna,draw_entry,6.0,0.0,,ipt-goa-grandslam-11-0,2026-27,2027-08-16,2027-07-01,False
30155bc6-d483-414d-8d5e-17eef06c9f9e,Pranav Erinjery,Men's,City Open Kochi 2.0,City Open Kochi 2.0,city_open,2026-09,2026-09-13,intermediate,semi_finalist,18,True,Aldrith Fernandez,profile,4.0,1.0,,ipt-kochi-city-open-2-0,2026-27,2027-09-13,2027-07-01,False
30ab2db4-b8de-4717-9c08-286cea50609e,Aakash Lalith,Men's,Goa Grandslam 11.0,Goa Grandslam 11.0,grand_slam,2026-08,2026-08-16,advance,groups,0,True,Famaz Shanavas,draw_entry,0.0,3.0,,ipt-goa-grandslam-11-0,2026-27,2027-08-16,2027-07-01,False
